Density: 0.94, dimension: 74400
Density: 0.94, dimension: 74500
Density: 0.94, dimension: 74600
Density: 0.94, dimension: 74700
Density: 0.94, dimension: 74800
Density: 0.94, dimension: 74900
Density: 0.94, dimension: 75000
Density: 0.94, dimension: 75100
Density: 0.94, dimension: 75200
Density: 0.94, dimension: 75300
Density: 0.94, dimension: 75400
Density: 0.94, dimension: 75500
Density: 0.94, dimension: 75600
Density: 0.94, dimension: 75700
Density: 0.94, dimension: 75800
Density: 0.94, dimension: 75900
Density: 0.94, dimension: 76000
Density: 0.94, dimension: 76100
Density: 0.94, dimension: 76200
Density: 0.94, dimension: 76300
Density: 0.94, dimension: 76400
Density: 0.94, dimension: 76500
Density: 0.94, dimension: 76600
Density: 0.94, dimension: 76700
Density: 0.94, dimension: 76800
Density: 0.94, dimension: 76900
Density: 0.94, dimension: 77000
Density: 0.94, dimension: 77100
Density: 0.94, dimension: 77200
Density: 0.94, dimension: 77300
Density: 0.94, dimension: 77400
Density: 0.94, dimension: 77500
Density: 0.94, dimension: 77600
Density: 0.94, dimension: 77700
Density: 0.94, dimension: 77800
Density: 0.94, dimension: 77900
Density: 0.94, dimension: 78000
Density: 0.94, dimension: 78100
Density: 0.94, dimension: 78200
Density: 0.94, dimension: 78300
Density: 0.94, dimension: 78400
Density: 0.94, dimension: 78500
Density: 0.94, dimension: 78600
Density: 0.94, dimension: 78700
Density: 0.94, dimension: 78800
Density: 0.94, dimension: 78900
Density: 0.94, dimension: 79000
Density: 0.94, dimension: 79100
Density: 0.94, dimension: 79200
Density: 0.94, dimension: 79300
Density: 0.94, dimension: 79400
Density: 0.94, dimension: 79500
Density: 0.94, dimension: 79600
Density: 0.94, dimension: 79700
Density: 0.94, dimension: 79800
Density: 0.94, dimension: 79900
Density: 0.94, dimension: 80000
Density: 0.94, dimension: 80100
Density: 0.94, dimension: 80200
Density: 0.94, dimension: 80300
Density: 0.94, dimension: 80400
Density: 0.94, dimension: 80500
Density: 0.94, dimension: 80600
Density: 0.94, dimension: 80700
Density: 0.94, dimension: 80800
Density: 0.94, dimension: 80900
Density: 0.94, dimension: 81000
Density: 0.94, dimension: 81100
Density: 0.94, dimension: 81200
Density: 0.94, dimension: 81300
Density: 0.94, dimension: 81400
Density: 0.94, dimension: 81500
Density: 0.94, dimension: 81600
Density: 0.94, dimension: 81700
Density: 0.94, dimension: 81800
Density: 0.94, dimension: 81900
Density: 0.94, dimension: 82000
Density: 0.94, dimension: 82100
Density: 0.94, dimension: 82200
Density: 0.94, dimension: 82300
Density: 0.94, dimension: 82400
Density: 0.94, dimension: 82500
Density: 0.94, dimension: 82600
Density: 0.94, dimension: 82700
